用户id,用户名,种子id,标题,小标题,体积,发布组,分类,分辨率,多集,新合集,旧合集,双语,NF,发布时间,单种工资,备注,总魔力,更新时间
92502,minionslsz,135452,Romance Of Three Kingdoms 2017 WEB-DL 1080p H264 AAC-HDSWEB,三国演义 动画 全60集,23.59GB,HDSWEB,动漫,2K/1080p,,,60,,,2020-05-05 22:20:51,60000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135453,The Immortal Legend 2017 WEB-DL 1080p H264 AAC-HDSWEB,地灵曲  全43集,13.21GB,HDSWEB,动漫,2K/1080p,,,43,,,2020-05-05 22:22:59,43000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135458,Hunting 2020 E39-E40 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 第39-40集 | 王凯 王鸥 胡军,1.51GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-05 22:40:09,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135566,Hunting 2020 E41-E42 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 第41-42集 | 王凯 王鸥 胡军,1.18GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-06 22:12:29,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135567,Produce 101 Bonus E02 20200506 WEB-DL 1080p H264 AAC-HDSWEB,创可少女屋 / 创造营2020 会员Bonus 第02期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,0.37GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-06 22:15:48,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135568,Girls Up Extra S02E07 20200506 WEB-DL 4k H265 AAC-HDSWEB,青春加点戏 / 青春有你2衍生综艺 第07期,1.85GB,HDSWEB,综艺,4k/2160p,,,,,,2020-05-06 22:18:15,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135704,I'm CZR S02E04 20200507 WEB-DL 1080p H264 AAC-HDSWEB,我是唱作人2/我是唱作人 第二季 第04期 | 嘉宾：张艺兴 郑钧 陈粒 GAI,2.51GB,HDSWEB,综艺,2K/1080p,2,,,,,2020-05-07 20:29:44,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135729,Girls Up S02E17 20200507 WEB-DL 4k H265 AAC-HDSWEB,青春有你2 第17期 上下2集 | 嘉宾：蔡徐坤 Lisa 陈嘉桦 肖佳,3.25GB,HDSWEB,综艺,4k/2160p,2,,,,,2020-05-07 22:24:24,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135730,Hunting 2020 E43-E44 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 第43-44集 | 王凯 王鸥 胡军,1.28GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-07 22:26:02,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135819,Hunting 2020 WEB-DL 1080p H264 AAC-HDSWEB,猎狐 全44集打包 | 王凯 王鸥 胡军,26.9GB,HDSWEB,剧集（合集）,2K/1080p,,44,,,,2020-05-08 20:32:48,0,打包新资源无魔力,,2020-05-11 23:47:54.500615
92502,minionslsz,135838,Produce 101 Bonus E03 20200508 WEB-DL 1080p H264 AAC-HDSWEB,创可少女屋 / 创造营2020 会员Bonus 第03期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,0.44GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-08 22:25:48,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135846,I'm CZR Bonus S02E04 20200508 WEB-DL 1080p H264 AAC-HDSWEB,开饭啦！唱作人2/我是唱作人2会员专享 第04期 | 嘉宾：张艺兴 郑钧 陈粒 GAI,0.78GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-08 22:34:22,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135849,No 2 Middle School 2018 S04 WEB-DL 1080p H264 AAC-HDSWEB,茶啊二中 第四季 全13集,3.17GB,HDSWEB,动漫,2K/1080p,,,13,,,2020-05-08 23:23:01,13000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135853,Bian Di Shu Xiang 2020 E01-E02 WEB-DL 1080p H264 AAC-HDSWEB,遍地书香 第01-02集,1.35GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-09 00:30:36,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135951,Produce 101 E02 Part 1 20200509 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020  第02期（上） | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,2.64GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-09 21:00:20,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135952,Produce 101 Bonus E04 20200509 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020评级全纪录 / 创造营2020 会员Bonus 第04期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,0.93GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-09 21:01:55,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135955,Girls Up Bonus S02E09 20200509 WEB-DL 4k H265 AAC-HDSWEB,青春有你2会员升级版  第09期,1.38GB,HDSWEB,综艺,4k/2160p,,,,,,2020-05-09 22:07:07,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135982,Girls Up S02E18 20200509 WEB-DL 4k H265 AAC-HDSWEB,青春有你2 第18期 上下2集 | 嘉宾：蔡徐坤 Lisa 陈嘉桦 肖佳,4.81GB,HDSWEB,综艺,4k/2160p,2,,,,,2020-05-10 00:07:39,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,135983,Bian Di Shu Xiang 2020 E03 WEB-DL 1080p H264 AAC-HDSWEB,遍地书香 第03集,0.68GB,HDSWEB,电视剧分集,2K/1080p,,,,,,2020-05-10 00:24:15,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,136060,Produce 101 E02 Part 2 20200510 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020  第02期（下） | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,2.71GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-10 20:21:16,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,136075,Produce 101 Bonus E05 20200510 WEB-DL 1080p H264 AAC-HDSWEB,创造营2020评级全纪录 / 创造营2020 会员Bonus 第05期 | 嘉宾：黄子韬 鹿晗 毛不易 宋茜 大张伟,1.4GB,HDSWEB,综艺,2K/1080p,,,,,,2020-05-10 21:47:48,2000,,,2020-05-11 23:47:54.500615
92502,minionslsz,136085,Crosstalk Of Guo Degang 2013 WEB-DL 4k H265 AAC-HDSWEB,郭德纲相声动画版  全819集,317.18GB,HDSWEB,动漫,4k/2160p,,,819,,,2020-05-10 23:57:06,1228500,,,2020-05-11 23:47:54.500615
92502,minionslsz,136089,Bian Di Shu Xiang 2020 E04-E05 WEB-DL 1080p H264 AAC-HDSWEB,遍地书香 第04-05集,1.32GB,HDSWEB,电视剧分集,2K/1080p,2,,,,,2020-05-11 00:59:24,4000,,,2020-05-11 23:47:54.500615
92502,minionslsz,,,,,,,,,,,,,,,,1937500,
